Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/29/2016,19:00,4/29/2016,22:50,3 hours and 50 minutes,"HackerSpace (317)","DIY, Tech","Open Demos by BeagleBone, Dangerous Things and All Hands Active","","Live demos and highlights for of this weekend's events as the Penguicon Hackerspace spins up for the weekend!",FALSE,PUBLIC,"none"
4/30/2016,9:00,4/30/2016,9:50,50 minutes,"HackerSpace (317)","DIY, Tech","Hands on Soldering and Embedded Programming with All Hands Active","All Hands Active","Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges. ",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,10:50,50 minutes,"HackerSpace (317)","DIY, Tech","Backyard Brains Demo #1","Greg Gage","Neuroscientist and engineer Greg Gage will demonstrate the SpikerBox -- a small rig that helps kids understand the electrical impulses that control the nervous system. He's passionate about helping everyone understand (viscerally) how our brains and our neurons work.",FALSE,PUBLIC,"none"
4/30/2016,10:00,4/30/2016,22:50,12 hours and 50 minutes,"HackerSpace (317)","DIY, Tech","Dangerous Things RFID Implanations","Amal Graafstra, Anita Fowler","Yes- we are turning people into cyborgs. Expect a demonstration of really awesome technology that can help you unlock your doors- phone- make electronic payments- contain your medical information- and all kinds of other fun stuff.  Join Dangerous Things as they implants RFIDs into anyone who wants them in a safe and sterile manner! Please stop by the HackerSpace to ask about costs!",FALSE,PUBLIC,"none"
4/30/2016,11:00,4/30/2016,11:50,50 minutes,"HackerSpace (317)","DIY, Tech","Hands on Soldering and Embedded Programming with All Hands Active","All Hands Active","Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges. ",FALSE,PUBLIC,"none"
4/30/2016,12:00,4/30/2016,13:50,1 hour and 50 minutes,"HackerSpace (317)","DIY, Tech","i3 Vinyl Tshirts","Yajie Wang","i3's Vinyl cutter and Heat Press (shirt press & Mug Press) is coming to Penguicon's Hackerspace! Transfer from a image to sticker- from a sticker to an awesome decoration on your shirt or mug! Please bring a shirt (cotton with polyester or 100% cotton) or mug with you! i3 will also demonstrate the basic functions in our new software 'Sure Cuts A Lot'. Its straightforward and interesting! ",FALSE,PUBLIC,"none"
4/30/2016,14:00,4/30/2016,14:50,50 minutes,"HackerSpace (317)","DIY, Tech","Hands on Soldering and Embedded Programming with All Hands Active","All Hands Active","Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges. ",FALSE,PUBLIC,"none"
4/30/2016,17:00,4/30/2016,17:50,50 minutes,"HackerSpace (317)","DIY, Tech","Hackforge Demo","Sarah Morris","Windsor Hackforge is a shared space where creative technological minds come together and make things happen. They are bringing a hands-on project to this side of the Detroit River. Watching is free- but attendees who want to build along will be asked for a donation to cover the costs of materials.",FALSE,PUBLIC,"none"
4/30/2016,18:00,4/30/2016,18:50,50 minutes,"HackerSpace (317)","DIY, Tech","Backyard Brains Demo #2","Greg Gage","Neuroscientist and engineer Greg Gage will demonstrate the SpikerBox -- a small rig that helps kids understand the electrical impulses that control the nervous system. He's passionate about helping everyone understand (viscerally) how our brains and our neurons work.",FALSE,PUBLIC,"none"
4/30/2016,19:00,4/30/2016,20:50,1 hour and 50 minutes,"HackerSpace (317)","DIY, Tech","Hands on Soldering and Embedded Programming with All Hands Active","All Hands Active","Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges. ",FALSE,PUBLIC,"none"
4/30/2016,21:00,4/30/2016,22:50,1 hour and 50 minutes,"HackerSpace (317)","DIY, Tech","Everything and Anything with BeagleBone","Jason Kridner","Explore the high-performance- low-power world with the tiny- affordable- open-source Beagles at Penguicon. Putting Android- Ubuntu and other Linux flavors at your fingertips. ",FALSE,PUBLIC,"none"
5/1/2016,10:00,5/1/2016,14:50,4 hours and 50 minutes,"HackerSpace (317)","DIY, Tech","Dangerous Things RFID Implantations","Amal Graafstra, Anita Fowler","Yes- we are turning people into cyborgs. Expect a demonstration of really awesome technology that can help you unlock your doors- phone- make electronic payments- contain your medical information- and all kinds of other fun stuff.  Join Dangerous Things as they implants RFIDs into anyone who wants them in a safe and sterile manner! Please stop by the HackerSpace to ask about costs!",FALSE,PUBLIC,"none"
5/1/2016,10:00,5/1/2016,10:50,50 minutes,"HackerSpace (317)","DIY, Tech","Hands on Soldering and Embedded Programming with All Hands Active","All Hands Active","Get Hands-on with a Penguicon Tradition. All Hands Active members will have kits for sale to solder and program the latest iteration of their Penguicon upgraded badges. ",FALSE,PUBLIC,"none"
