Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"BoF: Storytelling in Video Games",4/24/2015,16:00,4/24/2015,16:50,FALSE,"What are the most amazing stories in video games? Let's discuss how gaming is moving toward legitimate art and away from tropes. Some stories can only be told through interaction, and current games about depression, bureaucracy, novel writing, and even being famous on Twitter have to be played to be understood. Stick around for our 'most awful stories in gaming'.  Speakers include:","Board of Regents",PUBLIC
"Open Source and Homebrew Arcade",4/24/2015,17:00,4/24/2015,18:50,FALSE,"Open source... video gaming?  Our volunteers have brought in cheap classic game consoles, console clones, Raspberry Pii, and Raspberry Pii like devices running various homebrew and open source games they have created. This is a great opportunity for those of us who build indie games in our free time to exchange ideas and see what other people are working on.  It's also an excellent time just to kick back with other convention participants and play a few games you've never heard of.  Speakers include:Neil Funk, William Bowen","Board of Regents",PUBLIC
"Artemis: The Starship Bridge Simulator",4/24/2015,18:00,4/24/2015,21:50,FALSE,"Come be a member of the bridge crew in Artemis, the Starship Bridge Simulator. One hour sessions throughout the weekend.  Speakers include:Joe Greene","Baldwin Board Room",PUBLIC
"Learning from your Guild Experiences",4/24/2015,18:00,4/24/2015,18:50,FALSE,"From helping others level up to coping with differing personalities, we'll discuss some of the life lessons we can take away from being in a gaming guild. There's a lot more than most people realize.  Speakers include:Craig Hibbard","Charlevoix C",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman","Hamlin",PUBLIC
"BoF: GamerGate -- What have we learned?",4/24/2015,20:00,4/24/2015,20:50,FALSE,"In the past year, online communities and social networks have fragmented around the stated goals of gender representation and media impartiality when it comes to video games. In a post-GamerGate world, where do we go from here?   Speakers include:","Board of Regents",PUBLIC
"The Metagame: Video Game Debate",4/24/2015,22:00,4/24/2015,22:50,FALSE,"Which made you feel more in control, Kingdom Hearts or Madden 2015? Which had a better soundtrack, Jet Set Radio or Chrono Trigger? Our panelists will be given specific questions, and using a limited pool of games they must construct and present an argument answering that question. A panel of judges will weigh in on the arguments presented and decide a winner. After our pros go head-to-head, the audience will be given the chance to challenge the panelists and each other!  Speakers include:Derek Parrott, Saker Alexander, Richard Villarruel","Charlevoix C",PUBLIC
"Artemis: The Starship Bridge Simulator",4/25/2015,10:00,4/25/2015,21:50,FALSE,"Come be a member of the bridge crew in Artemis, the Starship Bridge Simulator. One hour sessions throughout the weekend.  Speakers include:Joe Greene","Baldwin Board Room",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland","Board of Trustees",PUBLIC
"If I Can Make a Video Game, So Can You!",4/25/2015,13:00,4/25/2015,14:50,FALSE,"Come learn from David Gazdowicz about how he created modern retro-style video games from the ground up, including game design, graphic design, cabinet fabrication and hardware installation. If he can do it, so can you!  Speakers include:David Gazdowicz","Charlevoix B",PUBLIC
"Opening Up Retro-Style Video Cabinets",4/25/2015,15:00,4/25/2015,15:50,FALSE,"David Gazdowicz created modern retro-style video games from the ground up. Join David in the lobby as he opens up the cabinets so you can poke around a bit at the inner workings!  Speakers include:David Gazdowicz","Lobby",PUBLIC
"The Augmented Gamer",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Video games and hardware are getting increasingly more complex and powerful. But, so are the resources available to gamers. Back in the 80s, a space trading game like Elite would call for a pad of paper to track prices between space stations. Today, players of the modern MMORPG EVE Online have spawned web services and dynamic spreadsheets to cope with market activity. Even World of Warcraft players have used code and spreadsheets to manage characters and gear. Some players and developers consider this cheating. But, for others, this is just the way games are played while living in the future. What do you think?  Let's discuss!  Speakers include:Les Orchard","Board of Governors",PUBLIC
"Artemis & Wine: Space Travel on a Budget",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Wonder how it can be affordable to run a windows game that requires six computers? Come find out how it's done, with extra tools to make it more immersive at almost no additional cost! We'll show you the tricks used to make the Linux Bootable USB drives, 'behind the bridges', and what extra tools they include.   Speakers include:Joe Greene","Nicolet",PUBLIC
"Artemis: The Starship Bridge Simulator",4/26/2015,10:00,4/26/2015,12:50,FALSE,"Come be a member of the bridge crew in Artemis, the Starship Bridge Simulator. One hour sessions throughout the weekend.  Speakers include:Joe Greene","Baldwin Board Room",PUBLIC
"Demon Lobster Presents 'Super Smash Bros. Community Let's Play!'",4/26/2015,11:00,4/26/2015,13:50,FALSE,"Have you ever wanted to participate in a Let's Play?  Or are you just looking for some chaotic video game fun?  Join the crews from Demon Lobster and PlayWhatNow? for a rousing evening of 8-player Super Smash Bros. on the WiiU!  For added fun, we'll be recording the gameplay and filming video to compile a Let's Play featuring the Penguicon community! Everyone is welcome for a fun evening of gaming and hilarity.  Speakers include:Scott Markwart, Jon Hickey","Montcalm",PUBLIC
"Minecraft 101: More than Tree Punching",4/26/2015,12:00,4/26/2015,12:50,FALSE,"Everything you never wanted to know about Minecraft - its origins, its mythology, the basic ins and outs of the game, and some of the really nifty things you can do with it.  Speakers include:James Schmidt","Charlevoix C",PUBLIC
"Our Adventures into Indie Games",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Mahjong House was the first commercial video game from DisjointedImages. Come listen to how we developed the game, how it was a success (and failure), and get some tips on venturing into the world of indie game development yourself.  Speakers include:Melanie Castle, Chris Castle","Nicolet",PUBLIC
"Crowdfunding Your Way to Success",4/26/2015,14:00,4/26/2015,15:50,FALSE,"Crowdfunding has taken the world by storm. Learn about the different types of crowdfunding and the ways they can help your project become a reality.  Speakers include:Maggie Maiville, Sarah Hans","Windover",PUBLIC
"Hearthstone Fireside Gathering",4/26/2015,15:00,4/26/2015,15:50,FALSE,"Come join other players of Hearthstone for a Fireside Gathering.  Bring your laptop and join a tournament with other players  Speakers include:Ryan Carey","Board of Trustees",PUBLIC
"BoF: XBox One vs. Playstation 4 -- Who 'Won' the Next Gen Console War?",4/26/2015,15:00,4/26/2015,15:50,FALSE,"Now that there's been time to experience both the XBox One and the Playstation 4, which system has come out on top?  Speakers include:","Hamlin",PUBLIC
