Start Date,Start Time,End Date,End Time,Duration,Location,Track,Title,Presenters,Book Description,All Day Event,Private,AV Needs
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Chaos Machine","",'The Chaos machine returns to shape your wildest engineering imagination into a functioning beacon of collective brilliance. Find some old friends or new acquaintances to help build the machine from the ground up!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Find Tux","",'Can you find Tux at Penguicon?  Look for the Penguin Plushie and you can keep it!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Find Waldo","",'Where's Waldo? He's somewhere amidst the rest of the hordes of awesome Penguicon attendees. Look for Waldo and his friend the Wizard anywhere in plain sight. If you find them- you will be rewarded!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Free Fates Fortune Telling Booth","",'Find a token- bring it to the booth in the lobby- and randomly generated predictions will be given to you! You may also write a short question and receive a Yes or No answer in return. Hours of operation posted at the booth.',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Giant Jenga","",'Stop by and play some (enormous) Jenga with your friends- or meet new people. No writing dirty things on the blocks! You'll just have to use your imagination.',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Google Ingress Dead Drop ","",'Something special will be hidden in the con area Friday evening. A picture and clue will be posted. If you find it- you can keep it!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"NUET Scouts","",'The Scouts are at it again! The Nearly Useless Entertainment Team is back for another year at Penguicon- bringing you fun- mayhem- and shenanigans. Find us wandering the con to see what we have planned this year.',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Pengicon Picture Bingo","",'Snap a picture of each clue and you will be rewarded! Go to Registration- Ops- or the Greeter table to get started!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Retro-style Video Games","",'Find David Gazdowicz's awesome games in the lobby... and play them!',TRUE,PUBLIC,none
4/24/2015,16:00,4/26/2015,16:00,48 hours,"",Mayhem,"Ribbon Fairy","",'Look out for the Ribbon Fairy! If you find her- you can trade her a ribbon for a ribbon!',TRUE,PUBLIC,none
